ID,Categories,Brand,Products Name,Description,Features,SKU,Price KWD,Image Path
1,Machinery,Berry,Berry Handi Trash-Bag,"A durable, large-capacity waste collection bag, ideal for janitorial carts.","Material: Heavy-duty vinyl/nylon; Capacity: 100L; Features: Rip-resistant, waterproof, easy to clean, fits most standard janitorial carts, reinforced handles.",BHY001,15,.\images\BHY001.jpg
2,Machinery,BISSELL,BISSELL BG355,Commercial-grade vacuum cleaner for efficient dry vacuuming in various settings.,"Type: Upright Vacuum; Motor: 1000W; Cleaning Path: 35cm; Filtration: HEPA; Cord Length: 12m; Features: Durable construction, strong suction, ideal for carpets and hard floors, lightweight design.",BBG355,180,.\images\BBG355.jpg
3,Chemicals,Bona,Bona_Hardwood Floor Polish (1L),Protective polish designed to restore shine and protect hardwood floors from wear.,"Form: Liquid; Volume: 1L; Finish: Satin/Gloss; Features: Non-toxic, quick-drying, fills micro-scratches, enhances natural wood grain, lasts for months.",HFP1000,9.5,.\images\HFP1000.jpg
4,Waste,Brute,Brute_Industrial Waste Bins (240L),"Large, robust wheeled bins for industrial and commercial waste collection.","Capacity: 240L; Material: HDPE; Features: Heavy-duty wheels, reinforced rim, UV stabilized, suitable for outdoor and heavy use.",IWB240,35,.\images\IWB240.jpg
5,Chemicals,Clorox,Clorox_Household Disinfectant Spray (750ml),Ready-to-use spray for disinfecting and cleaning common household surfaces.,"Form: Aerosol Spray; Volume: 750ml; Scent: Fresh; Features: Kills 99.9% of viruses and bacteria, multi-surface safe, eliminates odors, no wiping needed for disinfection.",HDS750,3,.\images\HDS750.jpg
6,Chemicals,Dettol,Dettol_Hand Sanitizer (Standard Bottle - 500ml),Convenient size hand sanitizer bottle for personal or small office use.,"Form: Gel; Volume: 500ml; Alcohol Content: 60%; Features: Kills 99.9% of germs instantly, non-sticky formula, moisturizing, ideal for desks, reception areas, and personal use.",HSS500,4.5,.\images\HSS500.jpg
7,Chemicals,Diversey,Diversey_Multi-Surface Spray (500ml),"Versatile cleaning spray effective on multiple hard surfaces, leaving a fresh scent.","Type: Spray; Volume: 500ml; Scent: Citrus; Features: All-purpose, removes dirt and grime, non-abrasive, safe for countertops, tiles, plastics.",MSS500,2.8,.\images\MSS500.jpg
8,Chemicals,Febreze,Febreze_Odor Neutralizer Sprays (300ml),"Effectively eliminates unpleasant odors, leaving a clean and fresh environment.","Type: Aerosol Spray; Volume: 300ml; Scent: Linen Fresh; Features: Long-lasting odor elimination, non-masking, safe for fabrics and air, ideal for commercial spaces.",ONS300,2.5,.\images\ONS300.jpg
9,Waste,Glad,Glad_Household - 30L Trash Bags (50 count),Durable household trash bags with drawstring closure for convenient waste disposal.,"Capacity: 30L; Quantity: 50 count; Material: High-density polyethylene; Features: Drawstring closure, tear-resistant, ideal for kitchen and office waste.",TBH030,2.5,.\images\TBH030.jpg
10,Waste,Harmony Enterprises,Harmony Enterprises_Recycling Compactor (Small),Compact recycling compactor designed for efficient waste volume reduction in small businesses.,"Compaction Ratio: 4:1; Bale Weight: 10-20kg; Power: Electric; Features: Reduces waste volume, saves space, ideal for cardboard, plastics, and cans, easy to operate.",RCS001,1200,.\images\RCS001.jpg
11,Chemicals,HGST,HGST_Streak-Free Glass Cleaner (750ml),"An advanced formula for perfectly clean, streak-free windows and mirrors.","Type: Spray; Volume: 750ml; Scent: Fresh; Features: Ammonia-free, quick-drying, leaves no residue, suitable for glass, chrome, and other reflective surfaces.",GCL750,3.5,.\images\GCL750.jpg
12,Machinery,ISAL,ISAL 6000 Width 6cbm (Urban Sweeper),Large urban street sweeper designed for municipal road and pavement cleaning.,"Type: Urban Sweeper; Sweeping Width: 250cm (adjustable); Hopper Capacity: 6 cbm; Power: Diesel Engine; Features: High-efficiency sweeping, robust chassis, advanced dust suppression, ideal for city streets and large public areas.",ISAL6000,45000,.\images\ISAL6000.jpg
13,Machinery,ISAL,ISAL PB 110,Entry-level walk-behind sweeper for small to medium indoor and outdoor areas.,"Type: Walk-behind Sweeper; Sweeping Width: 70cm; Hopper Capacity: 30L; Power: Manual/Battery; Features: Compact, easy to maneuver, simple to operate, suitable for light debris.",IPB110,700,.\images\IPB110.jpg
14,Machinery,ISAL,ISAL PB 111,Enhanced walk-behind sweeper with increased performance for diverse applications.,"Type: Walk-behind Sweeper; Sweeping Width: 80cm; Hopper Capacity: 45L; Power: Battery; Features: Improved suction, longer run time, suitable for warehouses and carparks, robust build.",IPB111,1200,.\images\IPB111.jpg
15,Machinery,ISAL,ISAL PB 115,Mid-range walk-behind sweeper designed for efficient cleaning of larger areas.,"Type: Walk-behind Sweeper; Sweeping Width: 95cm; Hopper Capacity: 60L; Power: Battery/Petrol; Features: Higher sweeping capacity, durable components, effective for industrial floors, easy to operate.",IPB115,2000,.\images\IPB115.jpg
16,Machinery,ISAL,ISAL PB 180,Robust walk-behind sweeper for heavy-duty sweeping tasks in demanding environments.,"Type: Walk-behind Sweeper; Sweeping Width: 120cm; Hopper Capacity: 80L; Power: Petrol; Features: Powerful engine, large hopper, ideal for construction sites and large outdoor areas, superior dust control.",IPB180,3500,.\images\IPB180.jpg
17,Machinery,ISAL,ISAL PB 200,Top-tier walk-behind sweeper for maximum performance in extensive cleaning operations.,"Type: Walk-behind Sweeper; Sweeping Width: 150cm; Hopper Capacity: 100L; Power: Diesel; Features: Very high productivity, strong build, suitable for airports, large logistics centers, advanced filtration.",IPB200,5000,.\images\IPB200.jpg
18,Chemicals,Johnson,Johnson_Tile Floor Wax (750ml),"High-gloss wax for all types of tiled floors, providing protection and a durable shine.","Form: Liquid; Volume: 750ml; Finish: High-gloss; Features: Long-lasting protection, slip-resistant, easy application, suitable for ceramic, porcelain, vinyl tiles.",TFW750,6.5,.\images\TFW750.jpg
19,Chemicals,Karcher,Karcher_Industrial Floor Detergent (20L),Highly concentrated heavy-duty detergent for deep cleaning industrial and commercial floors.,"Form: Liquid Concentrate; Volume: 20L; Scent: Low odor; Features: Removes tough grease and oil, low-foaming, suitable for machine scrubbing, biodegradable, effective on concrete, epoxy, and tiled floors.",IFD20000,45,.\images\IFD20000.jpg
20,Chemicals,Lysol,Lysol_Hospital-Grade Disinfectant (5L),Powerful disinfectant proven to kill a wide range of viruses and bacteria on surfaces.,"Form: Liquid Concentrate; Volume: 5L; Scent: Clean; Features: Kills SARS-CoV-2, influenza, MRSA; multi-surface use; effective against fungi; suitable for medical facilities, schools, offices.",HGD5000,25,.\images\HGD5000.jpg
21,Tools,O-Cedar,O-Cedar_Microfiber Mop,Highly absorbent and effective mop head for efficient floor cleaning.,"Material: Microfiber; Mop Head Type: Flat/Strip; Features: High absorbency, machine washable, effective on all floor types, compatible with standard handles.",MFM001,4.5,.\images\MFM001.jpg
22,Tools,OXO Good Grips,OXO Good Grips_Scrub Brush (All-Purpose),Versatile and durable scrub brush for tough cleaning jobs on multiple surfaces.,"Bristle Type: Stiff synthetic; Handle: Ergonomic, non-slip; Features: Built-in scraper, suitable for tiles, grout, kitchen, bathroom, durable construction.",SBA001,2.2,.\images\SBA001.jpg
23,Machinery,Powr,Powr-Flite Prowler PFX 900S,Professional portable carpet extractor for deep cleaning carpets and upholstery.,"Type: Carpet Extractor; Tank Capacity: 34L; Motor: 2-stage vacuum motor; Pump Pressure: 900 PSI; Features: High pressure for deep cleaning, portable design, ideal for commercial carpet maintenance.",PFP900S,950,.\images\PFP900S.jpg
24,Chemicals,Purell,Purell_Hand Sanitizer Bulk (5L),Bulk liquid hand sanitizer for large commercial or institutional use.,"Form: Liquid Gel; Volume: 5L; Alcohol Content: 70%; Features: Kills 99.9% of germs, quick-drying, no-rinse formula, ideal for refilling dispensers, dermatologist-tested.",HSB5000,18,.\images\HSB5000.jpg
25,Machinery,ROOTS,ROOTS E 4550 ES,Battery-operated walk-behind scrubber-dryer for efficient floor cleaning.,"Type: Walk-behind Scrubber Dryer; Cleaning Width: 45cm; Solution Tank: 50L; Recovery Tank: 55L; Power: 24V Battery; Run Time: 3 hours; Features: Robust design, user-friendly controls, suitable for various hard floors.",RE4550ES,1800,.\images\RE4550ES.jpg
26,Machinery,ROOTS,ROOTS India (Truck Mounted Sweeper),High-capacity truck-mounted sweeper for extensive road cleaning operations.,"Type: Truck-Mounted Sweeper; Hopper Capacity: 8-10 cbm; Sweeping Width: 300cm (variable); Power: Truck Engine; Features: Industrial-grade, high performance, ideal for highways, large industrial complexes, superior debris collection.",RTMTruck,80000,.\images\RTMTruck.jpg
27,Tools,Rubbermaid,Rubbermaid_Dustpan and Brush Set,Convenient set for quick and efficient sweep-ups of dust and small debris.,"Material: Durable plastic; Brush Type: Soft bristles; Features: Long handle dustpan, fine-bristle brush, hangs for easy storage, ideal for quick cleanups.",DPB001,3,.\images\DPB001.jpg
28,Tools,Scotch-Brite,Scotch-Brite_Lint Roller (Pack of 2),"Removes lint, dust, and pet hair from clothing, upholstery, and other surfaces.","Quantity: Pack of 2; Sheets per roll: 60; Features: Extra sticky adhesive, easy-tear sheets, ergonomic handle, effective on various fabrics.",LRP002,1.8,.\images\LRP002.jpg
29,Tools,Scotch-Brite,Scotch-Brite_Reusable Cleaning Cloths 3M (Pack of 5),Highly absorbent and durable microfiber cloths for various cleaning applications.,"Material: Microfiber; Quantity: Pack of 5; Size: 30x30cm; Features: Streak-free cleaning, lint-free, machine washable, ideal for surfaces, glass, and dusting.",RCC005,3.8,.\images\RCC005.jpg
30,Tools,Swiffer,Swiffer_Extendable Duster (Microfiber),Flexible and extendable duster to reach high and difficult areas easily.,"Material: Microfiber; Extension Length: Up to 1.5m; Features: Traps dust, washable head, flexible for tight spaces, lightweight.",EDM001,6,.\images\EDM001.jpg
31,Machinery,TELEMET,TELEMET CUBOMATIC SANISPRAY 120,Automatic disinfection and sanitization spraying machine for large area coverage.,"Type: Automatic Sprayer; Tank Capacity: 120L; Coverage Area: [Insert Area/Hour]; Features: Automated operation, fine mist for even coverage, ideal for hospitals, offices, public transport, highly effective disinfection.",TCS120,1500,.\images\TCS120.jpg
32,Machinery,TSM,TSM Aria 240,A compact ride-on floor scrubber for efficient cleaning in medium-sized areas.,"Type: Ride-on Scrubber; Cleaning Width: 60cm; Run Time: 3-4 hours; Solution Tank: 70L; Recovery Tank: 75L; Noise Level: 68 dB; Power: 24V Battery; Features: Compact design, easy maneuverability, high productivity, suitable for hard floors.",TMA240,2500,.\images\TMA240.jpg
33,Machinery,TSM,TSM Durashine 13,Compact single-disc floor polisher for high-gloss finishing on various floor types.,"Type: Single-Disc Polisher; Pad Diameter: 13 inches (33cm); Motor: 1100W; Speed: 150 RPM; Noise Level: 60 dB; Features: Lightweight, easy to maneuver, ideal for small areas, versatile for scrubbing and polishing.",TDS13,380,.\images\TDS13.jpg
34,Machinery,TSM,TSM Durashine 17,Medium-sized single-disc floor polisher for versatile floor maintenance tasks.,"Type: Single-Disc Polisher; Pad Diameter: 17 inches (43cm); Motor: 1300W; Speed: 175 RPM; Noise Level: 62 dB; Features: Robust construction, versatile for scrubbing, polishing, and buffing, suitable for medium areas.",TDS17,450,.\images\TDS17.jpg
35,Machinery,TSM,TSM Durashine 20,Large single-disc floor polisher designed for heavy-duty polishing and maintenance.,"Type: Single-Disc Polisher; Pad Diameter: 20 inches (50cm); Motor: 1500W; Speed: 175 RPM; Noise Level: 65 dB; Features: High power, efficient for large areas, suitable for stripping, scrubbing, and high-speed polishing.",TDS20,550,.\images\TDS20.jpg
36,Machinery,TSM,TSM Durasweep 375,Walk-behind sweeper for effective dust and debris collection in small to medium areas.,"Type: Walk-behind Sweeper; Sweeping Width: 75cm; Hopper Capacity: 40L; Power: Manual/Battery; Features: Ergonomic handle, easy to empty, suitable for indoor/outdoor use, efficient dust control.",TDS375,850,.\images\TDS375.jpg
37,Machinery,TSM,TSM DURASWEEP-130B,Battery-powered walk-behind sweeper for silent and efficient large area sweeping.,"Type: Walk-behind Sweeper; Sweeping Width: 130cm; Hopper Capacity: 80L; Power: 24V Battery; Run Time: 3-4 hours; Features: Large capacity, quiet operation, ideal for warehouses and large spaces, efficient dust filtration.",TDS130B,2800,.\images\TDS130B.jpg
38,Machinery,TSM,TSM Grande Brio 145-850 (Ride-on),Heavy-duty ride-on scrubber for efficient cleaning of very large commercial and industrial spaces.,"Type: Ride-on Scrubber Dryer; Cleaning Width: 85cm; Solution Tank: 145L; Recovery Tank: 150L; Power: 36V Battery; Run Time: 4-5 hours; Features: High capacity, comfortable operator seat, excellent maneuverability, suitable for large supermarkets, warehouses, malls.",TGB145R,7500,.\images\TGB145R.jpg
39,Machinery,TSM,TSM Grande Brio 35E (Walk-behind),Compact electric walk-behind scrubber for small to medium commercial spaces.,"Type: Walk-behind Scrubber Dryer; Cleaning Width: 35cm; Solution Tank: 18L; Recovery Tank: 20L; Power: 230V; Features: Easy to use, excellent maneuverability, ideal for retail, offices, and restaurants.",TGB35E,1500,.\images\TGB35E.jpg
40,Machinery,TSM,TSM Grande Brio 45E (Walk-behind),Medium-sized electric walk-behind scrubber offering high productivity.,"Type: Walk-behind Scrubber Dryer; Cleaning Width: 45cm; Solution Tank: 25L; Recovery Tank: 28L; Power: 230V; Features: Increased tank capacity, higher productivity, ergonomic design, suitable for schools, hospitals, supermarkets.",TGB45E,1800,.\images\TGB45E.jpg
41,Machinery,TSM,TSM Itala 135 ST,Compact scrubber dryer for professional cleaning of hard floors in confined spaces.,"Type: Walk-behind Scrubber Dryer; Cleaning Width: 35cm; Solution Tank: 15L; Recovery Tank: 16L; Power: 230V; Features: Foldable handle, quiet operation, ideal for small shops and offices, easy to use.",TIS135ST,1200,.\images\TIS135ST.jpg
42,Tools,Unger,Unger_Squeegee (Window),Professional-grade squeegee for streak-free window cleaning.,"Blade Material: Rubber; Handle Material: Stainless Steel; Blade Width: 35cm; Features: Ergonomic handle, replaceable blade, perfect for commercial window cleaning.",SWQ001,4.5,.\images\SWQ001.jpg
43,Chemicals,Unilever,Unilever_Universal Liquid Detergent (5L),Concentrated liquid detergent for versatile cleaning of various washable surfaces.,"Type: Liquid Concentrate; Volume: 5L; Scent: Original; Features: High foaming, effective on grease and dirt, biodegradable, suitable for floors, walls, and general surfaces.",ULD5000,8,.\images\ULD5000.jpg
44,Tools,Vileda,Vileda_Heavy Duty Cotton Mop (FC-22),Traditional and robust cotton mop for heavy-duty floor cleaning in commercial settings.,"Material: Heavy-duty Cotton; Weight: 400g; Features: High absorbency, durable for tough cleaning, ideal for large areas, compatible with professional mop handles.",HDCM001,5.5,.\images\HDCM001.jpg
45,Tools,Vileda,Vileda_Rubber Gloves (Medium),Durable rubber gloves providing protection and grip for various cleaning tasks.,"Material: Natural Latex Rubber; Size: Medium; Features: Flock-lined for comfort, textured grip, chemical resistant, reusable.",RGM001,1.5,.\images\RGM001.jpg
